date,precipitation,snowfall,snowdepth,avgwindspeed,weather,avgtemperature,avgtemperature_comaprision
2011-01-25,0.17,0.0,0.0,2.91,fog,40.5,less than global average
2011-01-28,0.0,0.0,0.0,4.47,fog,42.0,less than global average
2009-06-08,0.0,0.0,0.0,3.13,fog,78.5,more than global average
2011-02-01,0.0,0.0,0.0,4.47,fog,43.5,less than global average
2009-06-19,0.0,0.0,0.0,4.7,fog,80.5,more than global average
2011-02-06,0.0,0.0,0.0,2.01,fog,42.0,less than global average
2009-06-23,0.02,0.0,0.0,5.37,fog,78.5,more than global average
2011-02-08,0.0,0.0,0.0,8.05,fog,40.0,less than global average
2009-06-24,0.0,0.0,0.0,3.58,fog,79.5,more than global average
2009-07-05,0.03,0.0,0.0,2.91,fog,76.0,more than global average
2009-07-06,0.12,0.0,0.0,5.14,fog,76.5,more than global average
2011-02-24,0.02,0.0,0.0,4.7,fog,48.0,less than global average
2009-07-12,0.0,0.0,0.0,7.61,fog,84.5,more than global average
2009-07-24,0.34,0.0,0.0,3.36,fog,81.5,more than global average
2009-07-25,0.0,0.0,0.0,4.92,fog,81.5,more than global average
2011-03-16,0.05,0.0,0.0,2.91,fog,55.5,less than global average
2009-08-02,0.27,0.0,0.0,8.95,fog,78.5,more than global average
2009-08-04,0.0,0.0,0.0,3.58,fog,81.0,more than global average
2011-03-29,0.0,0.0,0.0,1.34,fog,45.5,less than global average
2009-08-07,0.0,0.0,0.0,3.36,fog,78.0,more than global average
2011-04-05,0.5,0.0,0.0,13.2,fog,59.0,less than global average
2009-08-12,0.03,0.0,0.0,2.24,fog,77.5,more than global average
2009-08-16,0.08,0.0,0.0,2.01,fog,79.5,more than global average
2009-08-18,0.0,0.0,0.0,7.61,fog,84.0,more than global average
2009-08-31,0.14,0.0,0.0,5.59,fog,68.5,more than global average
2011-04-23,0.01,0.0,0.0,5.82,fog,66.0,more than global average
2011-04-27,0.21,0.0,0.0,12.97,fog,77.5,more than global average
2009-09-11,0.0,0.0,0.0,2.91,fog,69.5,more than global average
2009-09-14,0.0,0.0,0.0,2.01,fog,72.0,more than global average
2011-05-10,0.16,0.0,0.0,4.7,fog,68.0,more than global average
2009-09-16,0.05,0.0,0.0,4.7,fog,73.0,more than global average
2011-05-14,0.12,0.0,0.0,4.7,fog,71.0,more than global average
2009-09-26,0.32,0.0,0.0,6.49,fog,65.5,more than global average
2009-09-27,0.1,0.0,0.0,2.91,fog,71.0,more than global average
2011-06-02,0.0,0.0,0.0,2.91,fog,82.5,more than global average
2011-06-12,0.24,0.0,0.0,5.59,fog,80.5,more than global average
2009-10-30,0.01,0.0,0.0,2.68,fog,57.5,less than global average
2011-06-27,0.03,0.0,0.0,5.59,fog,83.0,more than global average
2009-11-16,0.0,0.0,0.0,0.89,fog,58.0,less than global average
2011-06-29,0.04,0.0,0.0,4.47,fog,80.5,more than global average
2009-11-22,0.19,0.0,0.0,5.82,fog,47.0,less than global average
2011-07-10,0.0,0.0,0.0,3.8,fog,80.5,more than global average
2009-11-25,0.01,0.0,0.0,2.68,fog,51.5,less than global average
2011-07-21,0.0,0.0,0.0,4.7,fog,89.5,more than global average
2009-11-26,0.07,0.0,0.0,3.36,fog,51.0,less than global average
2009-11-30,0.18,0.0,0.0,10.51,fog,52.0,less than global average
2009-12-02,2.3,0.0,0.0,8.72,fog,54.0,less than global average
2011-08-14,1.08,0.0,0.0,5.37,fog,76.0,more than global average
2009-12-05,0.41,0.0,0.0,4.92,fog,42.0,less than global average
2009-12-09,0.76,0.0,0.0,14.99,fog,55.0,less than global average
2011-08-21,1.0,0.0,0.0,8.95,fog,81.5,more than global average
2009-12-18,0.46,0.1,0.0,9.4,fog,34.0,less than global average
2009-12-19,0.44,0.0,0.0,7.61,fog,32.0,less than global average
2011-08-29,1.36,0.0,0.0,4.7,fog,78.5,more than global average
2009-12-25,0.8,0.0,0.0,10.96,fog,47.5,less than global average
2009-12-27,0.0,0.0,0.0,3.58,fog,41.5,less than global average
2011-09-06,1.59,0.0,0.0,10.29,fog,81.0,more than global average
2011-09-08,0.0,0.0,0.0,1.34,fog,73.5,more than global average
2010-01-19,0.0,0.0,0.0,1.79,fog,50.5,less than global average
2011-09-15,1.31,0.0,0.0,8.95,fog,73.5,more than global average
2010-02-02,0.09,0.0,1.0,5.14,fog,33.0,less than global average
2011-09-21,0.43,0.0,0.0,3.36,fog,75.0,more than global average
2010-02-09,0.35,0.0,0.0,4.7,fog,36.0,less than global average
2010-02-25,0.0,0.1,0.0,8.5,fog,36.0,less than global average
2011-11-16,0.0,0.0,0.0,11.63,fog,70.5,more than global average
2011-11-29,0.97,0.0,0.0,12.3,fog,53.5,less than global average
2010-05-16,0.12,0.0,0.0,4.92,fog,74.5,more than global average
2010-05-22,0.59,0.0,0.0,4.92,fog,74.0,more than global average
2011-12-27,0.56,0.0,0.0,11.86,fog,53.0,less than global average
2010-05-28,0.41,0.0,0.0,6.71,fog,75.5,more than global average
2012-01-23,0.0,0.0,0.0,4.03,fog,44.5,less than global average
2012-01-24,0.0,0.0,0.0,4.25,fog,53.5,less than global average
2012-01-27,0.22,0.0,0.0,11.18,fog,57.5,less than global average
2010-06-28,0.0,0.0,0.0,8.5,fog,86.0,more than global average
2010-07-11,0.0,0.0,0.0,4.25,fog,84.5,more than global average
2012-02-08,0.0,0.0,0.0,2.01,fog,40.0,less than global average
2010-07-14,0.23,0.0,0.0,3.36,fog,82.0,more than global average
2010-07-24,0.0,0.0,0.0,9.62,fog,89.5,more than global average
2012-02-29,0.05,0.0,0.0,9.84,fog,59.5,less than global average
2010-07-27,0.32,0.0,0.0,5.14,fog,77.5,more than global average
2010-07-28,0.0,0.0,0.0,5.14,fog,84.0,more than global average
2012-03-17,0.1,0.0,0.0,3.8,fog,68.5,more than global average
2010-08-05,0.8,0.0,0.0,10.51,fog,84.5,more than global average
2012-03-22,0.0,0.0,0.0,4.47,fog,69.5,more than global average
2010-08-08,0.0,0.0,0.0,3.58,fog,80.5,more than global average
2010-08-19,0.6,0.0,0.0,2.68,fog,79.5,more than global average
2012-04-05,0.17,0.0,0.0,7.61,fog,55.0,less than global average
2010-08-22,0.07,0.0,0.0,4.7,fog,82.0,more than global average
2010-09-09,0.0,0.0,0.0,3.58,fog,75.0,more than global average
2012-04-29,0.0,0.0,0.0,3.36,fog,66.0,more than global average
2012-05-06,0.01,0.0,0.0,7.16,fog,67.0,more than global average
2010-09-26,2.25,0.0,0.0,6.26,fog,76.0,more than global average
2012-05-27,0.35,0.0,0.0,5.14,fog,76.0,more than global average
2010-09-30,1.84,0.0,0.0,7.83,fog,72.5,more than global average
2010-10-10,0.0,0.0,0.0,2.01,fog,69.5,more than global average
2010-10-21,0.0,0.0,0.0,6.49,fog,63.5,less than global average
2010-10-23,0.0,0.0,0.0,2.68,fog,56.5,less than global average
2010-10-25,0.27,0.0,0.0,7.61,fog,69.5,more than global average
2010-10-30,0.0,0.0,0.0,5.82,fog,50.5,less than global average
2012-07-31,0.0,0.0,0.0,2.01,fog,79.5,more than global average
2010-11-25,0.0,0.0,0.0,4.03,fog,51.0,less than global average
2012-08-11,0.4,0.0,0.0,6.93,fog,80.0,more than global average
2010-11-26,0.07,0.0,0.0,7.61,fog,58.0,less than global average
2012-08-21,0.0,0.0,0.0,1.57,fog,75.5,more than global average
2012-08-25,0.41,0.0,0.0,3.58,fog,67.5,more than global average
2010-12-01,0.29,0.0,0.0,12.08,fog,50.5,less than global average
2012-08-31,0.0,0.0,0.0,6.49,fog,81.5,more than global average
2012-09-07,0.0,0.0,0.0,2.91,fog,78.0,more than global average
2010-12-11,0.17,0.0,0.0,2.91,fog,33.5,less than global average
2012-09-19,0.0,0.0,0.0,6.26,fog,64.5,more than global average
2012-10-04,0.0,0.0,0.0,2.91,fog,71.5,more than global average
2011-01-11,0.08,0.0,0.0,5.82,fog,30.0,less than global average
2012-11-21,0.0,0.0,0.0,3.8,fog,47.5,less than global average
2011-01-18,0.0,0.0,0.0,4.7,fog,39.5,less than global average
2011-01-26,0.37,0.0,0.0,6.26,fog,40.5,less than global average
2012-12-13,0.13,0.0,0.0,5.82,fog,42.0,less than global average
2012-12-20,0.42,0.0,0.0,10.07,fog,51.0,less than global average
2013-01-15,0.01,0.0,0.0,7.83,fog,52.0,less than global average
2013-01-16,0.18,0.0,0.0,2.46,fog,46.0,less than global average
2013-01-18,0.06,0.1,1.0,2.24,fog,37.5,less than global average
2011-03-06,0.67,0.0,0.0,10.51,fog,52.0,less than global average
2011-03-09,0.23,0.0,0.0,8.72,fog,50.0,less than global average
2013-02-24,0.08,0.0,0.0,3.58,fog,51.0,less than global average
2011-03-28,0.02,0.0,0.0,2.46,fog,40.0,less than global average
2011-03-31,0.03,0.0,0.0,3.58,fog,44.0,less than global average
2011-04-01,0.0,0.0,0.0,6.26,fog,46.5,less than global average
2013-03-24,0.73,0.0,0.0,7.61,fog,38.5,less than global average
2011-04-09,1.04,0.0,0.0,5.59,fog,52.5,less than global average
2013-03-25,0.0,0.0,0.0,7.38,fog,41.5,less than global average
2011-04-16,0.39,0.0,0.0,15.43,fog,65.0,more than global average
2013-04-12,1.04,0.0,0.0,12.3,fog,71.5,more than global average
2011-04-22,0.43,0.0,0.0,5.82,fog,54.5,less than global average
2011-04-24,0.0,0.0,0.0,11.18,fog,74.5,more than global average
2013-05-19,0.54,0.0,0.0,6.49,fog,71.0,more than global average
2011-05-06,0.3,0.0,0.0,7.61,fog,58.0,less than global average
2011-05-07,0.0,0.0,0.0,3.36,fog,63.5,less than global average
2011-05-27,1.64,0.0,0.0,6.93,fog,73.5,more than global average
2013-06-18,0.14,0.0,0.0,8.5,fog,77.0,more than global average
2011-06-28,0.29,0.0,0.0,8.05,fog,85.5,more than global average
2013-06-19,0.0,0.0,0.0,5.14,fog,72.5,more than global average
2013-06-22,0.0,0.0,0.0,6.71,fog,75.5,more than global average
2013-06-27,0.0,0.0,0.0,9.62,fog,78.0,more than global average
2011-07-04,1.38,0.0,0.0,9.17,fog,84.5,more than global average
2013-07-01,0.72,0.0,0.0,6.26,fog,76.0,more than global average
2011-07-08,0.41,0.0,0.0,7.83,fog,83.0,more than global average
2013-07-05,0.0,0.0,0.0,7.61,fog,80.5,more than global average
2011-08-01,0.0,0.0,0.0,2.46,fog,82.5,more than global average
2011-08-05,0.0,0.0,0.0,7.16,fog,82.5,more than global average
2011-08-20,0.0,0.0,0.0,4.25,fog,79.0,more than global average
2011-08-27,0.54,0.0,0.0,13.65,fog,75.0,more than global average
2013-09-11,0.0,0.0,0.0,5.14,fog,79.5,more than global average
2011-09-02,0.04,0.0,0.0,4.25,fog,76.5,more than global average
2011-09-16,0.09,0.0,0.0,8.28,fog,57.5,less than global average
2013-09-28,0.0,0.0,0.0,4.92,fog,61.5,less than global average
2013-10-02,0.0,0.0,0.0,1.57,fog,71.0,more than global average
2013-10-23,0.0,0.0,0.0,7.16,fog,56.5,less than global average
2013-10-26,0.0,0.0,0.0,5.14,fog,44.0,less than global average
2013-11-22,0.03,0.0,0.0,5.37,fog,59.0,less than global average
2011-11-02,0.0,0.0,0.0,0.67,fog,49.0,less than global average
2011-11-09,0.0,0.0,0.0,0.22,fog,55.0,less than global average
2011-11-10,0.01,0.0,0.0,3.58,fog,53.5,less than global average
2014-01-06,0.13,0.0,0.0,13.65,fog,38.5,less than global average
2014-01-14,0.3,0.0,0.0,2.91,fog,46.0,less than global average
2011-12-25,0.0,0.0,0.0,4.92,fog,43.0,less than global average
2014-01-21,0.1,0.5,0.0,4.92,fog,38.5,less than global average
2012-01-10,0.0,0.0,0.0,1.12,fog,49.5,less than global average
2014-02-09,0.0,0.0,0.0,3.13,fog,42.0,less than global average
2012-01-18,0.11,0.0,0.0,6.93,fog,46.5,less than global average
2012-01-25,0.0,0.0,0.0,1.79,fog,49.0,less than global average
2012-02-16,0.25,0.0,0.0,4.47,fog,50.0,less than global average
2014-04-18,0.18,0.0,0.0,6.26,fog,50.5,less than global average
2012-02-24,0.09,0.0,0.0,17.45,fog,64.0,more than global average
2012-03-09,0.28,0.0,0.0,5.14,fog,50.5,less than global average
2014-05-07,0.0,0.0,0.0,3.58,fog,68.5,more than global average
2012-03-14,0.0,0.0,0.0,3.36,fog,69.0,more than global average
2014-05-13,0.0,0.0,0.0,5.82,fog,79.5,more than global average
2014-06-10,0.0,0.0,0.0,3.36,fog,81.0,more than global average
2012-04-19,0.0,0.0,0.0,3.8,fog,57.5,less than global average
2014-06-14,0.0,0.0,0.0,2.91,fog,73.0,more than global average
2012-04-21,0.24,0.0,0.0,5.82,fog,67.5,more than global average
2012-04-22,0.82,0.0,0.0,8.28,fog,55.0,less than global average
2012-04-27,0.0,0.0,0.0,5.14,fog,68.0,more than global average
2014-07-11,0.0,0.0,0.0,2.46,fog,77.5,more than global average
2014-07-20,0.93,0.0,0.0,4.03,fog,74.5,more than global average
2014-07-25,0.0,0.0,0.0,3.36,fog,74.5,more than global average
2012-06-20,0.0,0.0,0.0,3.13,fog,81.5,more than global average
2014-08-21,0.0,0.0,0.0,2.24,fog,81.0,more than global average
2012-06-23,0.0,0.0,0.0,4.03,fog,79.5,more than global average
2012-07-07,0.0,0.0,0.0,6.26,fog,87.0,more than global average
2014-09-15,0.0,0.0,0.0,2.68,fog,69.0,more than global average
2012-07-14,0.0,0.0,0.0,4.47,fog,83.0,more than global average
2014-09-27,0.0,0.0,0.0,3.8,fog,65.5,more than global average
2014-10-01,0.0,0.0,0.0,0.89,fog,67.5,more than global average
2014-10-10,0.63,0.0,0.0,8.05,fog,71.0,more than global average
2012-08-12,0.0,0.0,0.0,2.46,fog,79.0,more than global average
2012-08-17,0.0,0.0,0.0,4.03,fog,78.5,more than global average
2012-08-23,0.0,0.0,0.0,4.92,fog,75.5,more than global average
2014-10-25,0.0,0.0,0.0,2.68,fog,55.0,less than global average
2014-11-01,0.61,0.0,0.0,8.5,fog,48.0,less than global average
2012-08-30,0.0,0.0,0.0,4.47,fog,78.5,more than global average
2014-11-06,0.21,0.0,0.0,10.74,fog,59.0,less than global average
2012-09-15,0.0,0.0,0.0,5.14,fog,70.5,more than global average
2014-11-14,0.0,0.0,0.0,5.37,fog,36.5,less than global average
2012-09-18,1.7,0.0,0.0,9.17,fog,74.5,more than global average
2014-11-16,0.04,0.0,0.0,1.79,fog,38.0,less than global average
2012-10-12,0.0,0.0,0.0,3.36,fog,58.5,less than global average
2012-10-17,0.0,0.0,0.0,3.8,fog,59.0,less than global average
2014-11-27,0.05,0.0,0.0,4.25,fog,41.0,less than global average
2012-10-18,0.0,0.0,0.0,5.59,fog,63.5,less than global average
2012-10-25,0.0,0.0,0.0,1.34,fog,65.0,more than global average
2014-12-02,0.0,0.0,0.0,6.49,fog,50.5,less than global average
2014-12-06,0.16,0.0,0.0,3.58,fog,51.0,less than global average
2012-10-29,0.55,0.0,0.0,10.07,fog,46.5,less than global average
2014-12-09,0.5,0.0,0.0,3.58,fog,40.0,less than global average
2014-12-21,0.0,0.0,0.0,4.03,fog,44.0,less than global average
2014-12-22,0.4,0.0,0.0,6.71,fog,38.5,less than global average
2014-12-30,0.02,0.0,0.0,5.82,fog,34.5,less than global average
2015-01-13,0.03,0.0,0.0,11.41,fog,37.5,less than global average
2015-01-14,0.01,0.0,0.0,4.92,fog,30.5,less than global average
2012-11-29,0.0,0.0,0.0,1.34,fog,40.0,less than global average
2012-12-07,0.05,0.0,0.0,3.13,fog,50.5,less than global average
2015-01-23,0.67,0.0,0.0,6.93,fog,38.0,less than global average
2012-12-09,0.02,0.0,0.0,5.59,fog,61.5,less than global average
2012-12-17,0.18,0.0,0.0,7.83,fog,58.5,less than global average
2015-01-27,0.01,0.0,0.0,5.14,fog,37.0,less than global average
2015-02-10,0.17,0.0,0.0,10.96,fog,40.5,less than global average
2015-02-14,0.0,0.0,0.0,11.18,fog,37.5,less than global average
2013-01-02,0.24,0.0,0.0,3.58,fog,44.5,less than global average
2015-03-03,0.07,0.0,0.0,5.37,fog,39.0,less than global average
2013-01-03,0.0,0.0,0.0,1.79,fog,37.0,less than global average
2013-01-04,0.0,0.0,0.0,4.47,fog,38.5,less than global average
2015-03-15,0.0,0.0,0.0,6.26,fog,60.5,less than global average
2015-03-31,0.0,0.0,0.0,9.17,fog,54.5,less than global average
2013-01-09,0.0,0.0,0.0,1.79,fog,51.5,less than global average
2015-04-25,0.34,0.0,0.0,3.58,fog,51.0,less than global average
2015-05-02,0.0,0.0,0.0,2.91,fog,59.5,less than global average
2015-05-12,0.0,0.0,0.0,8.05,fog,77.5,more than global average
2015-05-21,0.24,0.0,0.0,6.49,fog,64.0,more than global average
2013-02-13,0.23,0.0,0.0,3.58,fog,46.0,less than global average
2015-06-03,0.02,0.0,0.0,7.16,fog,65.5,more than global average
2015-06-05,0.01,0.0,0.0,3.58,fog,69.0,more than global average
2013-02-27,0.0,0.0,0.0,8.72,fog,51.0,less than global average
2013-03-05,0.41,0.0,0.0,4.92,fog,42.5,less than global average
2015-06-26,1.26,0.0,0.0,4.7,fog,80.5,more than global average
2015-07-01,0.0,0.0,0.0,7.38,fog,77.0,more than global average
2013-03-19,0.0,0.0,0.0,6.71,fog,53.5,less than global average
2015-07-12,0.0,0.0,0.0,3.58,fog,76.0,more than global average
2015-07-13,0.65,0.0,0.0,6.49,fog,79.5,more than global average
2015-08-12,0.0,0.0,0.0,3.13,fog,76.0,more than global average
2015-08-25,0.0,0.0,0.0,2.91,fog,80.5,more than global average
2013-04-28,0.97,0.0,0.0,4.92,fog,58.5,less than global average
2013-05-01,0.01,0.0,0.0,9.84,fog,59.5,less than global average
2015-09-08,0.04,0.0,0.0,2.01,fog,79.5,more than global average
2015-09-12,0.34,0.0,0.0,6.26,fog,73.0,more than global average
2015-09-19,0.0,0.0,0.0,1.57,fog,74.5,more than global average
2015-09-26,1.02,0.0,0.0,12.3,fog,66.5,more than global average
2015-09-28,0.28,0.0,0.0,8.72,fog,75.0,more than global average
2013-06-02,0.11,0.0,0.0,11.18,fog,77.5,more than global average
2015-09-30,0.06,0.0,0.0,4.7,fog,74.5,more than global average
2013-06-08,0.04,0.0,0.0,3.36,fog,75.0,more than global average
2015-10-03,1.23,0.0,0.0,12.08,fog,60.5,less than global average
2013-07-12,0.05,0.0,0.0,4.25,fog,73.5,more than global average
2013-07-13,0.53,0.0,0.0,5.37,fog,74.0,more than global average
2015-10-28,0.46,0.0,0.0,10.29,fog,68.0,more than global average
2015-10-30,0.0,0.0,0.0,2.68,fog,56.5,less than global average
2015-11-02,1.52,0.0,0.0,4.7,fog,62.5,less than global average
2015-11-03,0.53,0.0,0.0,4.92,fog,62.0,less than global average
2015-11-06,0.0,0.0,0.0,9.62,fog,70.5,more than global average
2013-07-27,0.13,0.0,0.0,4.25,fog,78.0,more than global average
2015-11-27,0.0,0.0,0.0,0.89,fog,57.0,less than global average
2015-11-29,0.13,0.0,0.0,2.01,fog,61.5,less than global average
2015-12-08,0.0,0.0,0.0,2.24,fog,48.5,less than global average
2015-12-09,0.0,0.0,0.0,4.7,fog,53.0,less than global average
2015-12-10,0.0,0.0,0.0,3.58,fog,55.5,less than global average
2015-12-14,0.04,0.0,0.0,10.74,fog,68.5,more than global average
2010-05-25,0.0,0.0,0.0,7.38,fog,71.0,more than global average
2015-12-22,0.66,0.0,0.0,4.92,fog,58.0,less than global average
2013-08-30,0.0,0.0,0.0,2.91,fog,76.5,more than global average
2010-06-03,0.0,0.0,0.0,6.04,fog,79.5,more than global average
2015-12-26,0.01,0.0,0.0,2.91,fog,68.5,more than global average
2013-08-31,0.0,0.0,0.0,5.82,fog,79.0,more than global average
2010-06-04,0.0,0.0,0.0,7.61,fog,81.0,more than global average
2010-06-23,0.05,0.0,0.0,4.7,fog,85.0,more than global average
2016-01-16,0.0,0.0,0.0,6.93,fog,51.5,less than global average
2010-06-30,0.18,0.0,0.0,5.59,fog,73.5,more than global average
2016-01-17,0.13,0.0,0.0,4.47,fog,35.5,less than global average
2013-09-16,0.06,0.0,0.0,5.82,fog,76.0,more than global average
2016-01-20,0.0,0.0,0.0,4.25,fog,28.5,less than global average
2013-09-21,0.77,0.0,0.0,4.7,fog,71.0,more than global average
2010-07-09,0.4,0.0,0.0,3.58,fog,83.5,more than global average
2010-07-12,0.14,0.0,0.0,6.49,fog,80.5,more than global average
2016-02-08,0.09,0.0,0.0,3.8,fog,42.0,less than global average
2013-10-10,0.14,0.0,0.0,5.82,fog,57.0,less than global average
2010-07-18,0.01,0.0,0.0,7.16,fog,83.0,more than global average
2016-02-16,1.16,0.0,0.0,8.05,fog,47.5,less than global average
